Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34,No,Travel_Rarely,1176,Research & Development,4,4,Other,1,25,1,Female,75,4,5,Healthcare Representative,2,Divorced,15814,16884,4,Y,No,16,3,2,80,0,17,5,2,26,3,6,11
56,No,Travel_Frequently,182,Research & Development,23,1,Human Resources,1,26,4,Male,90,1,4,Healthcare Representative,1,Divorced,17646,25529,9,Y,No,22,3,4,80,0,9,0,3,21,0,11,8
53,No,Travel_Rarely,137,Sales,28,4,Other,1,27,2,Male,75,1,3,Sales Representative,3,Divorced,18962,18544,6,Y,Yes,11,3,3,80,2,20,0,1,16,5,12,11
57,No,Travel_Frequently,1192,Research & Development,16,2,Human Resources,1,28,4,Female,80,1,4,Laboratory Technician,1,Married,8514,24155,6,Y,No,25,3,1,80,2,21,2,1,28,0,5,11
21,No,Travel_Frequently,742,Research & Development,12,4,Technical Degree,1,29,3,Male,91,3,4,Research Scientist,1,Single,13414,17408,8,Y,No,25,3,4,80,1,16,5,3,2,4,3,10
55,No,Travel_Rarely,983,Sales,21,1,Other,1,30,3,Male,64,1,5,Sales Representative,3,Divorced,13846,4184,7,Y,No,15,3,4,80,2,4,6,1,16,4,9,5
42,No,Travel_Rarely,858,Research & Development,21,1,Medical,1,31,3,Male,71,2,5,Research Director,1,Divorced,10008,24548,3,Y,No,23,3,4,80,2,5,1,4,1,4,11,7
22,No,Travel_Frequently,724,Sales,13,2,Technical Degree,1,32,4,Female,74,4,4,Sales Representative,2,Single,10982,24410,4,Y,No,21,3,1,80,0,9,2,2,31,16,7,10
47,No,Travel_Rarely,569,Sales,17,4,Human Resources,1,33,1,Female,97,4,5,Sales Representative,2,Single,12864,13801,4,Y,Yes,22,3,3,80,1,1,5,3,21,11,2,2
29,No,Travel_Rarely,1267,Human Resources,8,2,Other,1,34,3,Male,76,4,4,Human Resources,4,Divorced,7566,26903,9,Y,Yes,15,3,1,80,3,6,0,3,38,6,7,15
21,Yes,Travel_Frequently,457,Human Resources,13,4,Technical Degree,1,35,1,Male,59,4,2,Human Resources,1,Single,10080,3149,1,Y,Yes,22,3,3,80,1,3,6,1,32,14,12,5
41,Yes,Travel_Rarely,810,Research & Development,20,1,Human Resources,1,36,1,Female,53,2,4,Research Director,1,Divorced,6097,8350,6,Y,No,13,3,2,80,2,36,0,3,21,12,4,8
46,No,Travel_Rarely,1121,Sales,26,4,Life Sciences,1,37,2,Female,95,4,1,Sales Representative,4,Divorced,17393,16235,6,Y,Yes,18,3,4,80,2,18,5,4,3,11,3,8
26,No,Travel_Rarely,1003,Sales,5,1,Life Sciences,1,38,4,Male,72,2,5,Sales Executive,2,Divorced,17559,14840,8,Y,No,25,3,3,80,0,27,2,1,37,12,2,5
21,No,Travel_Rarely,774,Research & Development,18,1,Marketing,1,39,3,Male,63,2,5,Research Scientist,4,Divorced,3072,5441,8,Y,No,19,3,2,80,3,19,0,1,12,5,14,4
41,No,Travel_Rarely,540,Research & Development,15,3,Medical,1,40,1,Female,52,4,3,Research Director,4,Divorced,9312,11455,3,Y,No,16,3,1,80,3,29,0,1,22,0,13,0
31,No,Travel_Rarely,632,Sales,12,3,Life Sciences,1,41,4,Female,90,4,3,Sales Executive,4,Divorced,12640,15762,4,Y,No,16,3,4,80,3,37,3,1,12,5,11,2
22,No,Travel_Rarely,228,Research & Development,29,4,Human Resources,1,42,4,Female,66,4,1,Research Scientist,1,Single,2134,6195,6,Y,Yes,12,3,3,80,2,1,4,4,19,12,9,2
35,Yes,Travel_Rarely,306,Sales,17,1,Technical Degree,1,43,3,Female,42,2,5,Sales Executive,1,Married,3650,9601,9,Y,No,20,3,4,80,2,2,5,1,32,12,6,11
59,No,Travel_Rarely,130,Human Resources,25,2,Other,1,44,2,Female,36,3,5,Human Resources,1,Married,18822,17421,6,Y,No,12,3,4,80,1,38,3,3,33,12,12,3
36,No,Travel_Rarely,546,Sales,15,1,Technical Degree,1,45,2,Male,71,2,3,Sales Representative,1,Divorced,11244,10779,9,Y,Yes,16,3,4,80,2,24,6,4,37,3,6,15
29,Yes,Travel_Rarely,1067,Research & Development,2,2,Marketing,1,46,1,Female,67,3,3,Research Director,3,Single,13803,5273,7,Y,Yes,22,3,1,80,3,1,4,2,28,4,12,10
35,No,Travel_Rarely,565,Sales,6,4,Technical Degree,1,47,2,Female,81,4,4,Sales Executive,4,Divorced,19027,14129,7,Y,No,18,3,4,80,3,38,5,2,31,12,5,7
34,No,Travel_Rarely,1405,Research & Development,17,4,Life Sciences,1,48,2,Female,73,2,5,Healthcare Representative,4,Single,9871,24692,1,Y,No,12,3,3,80,3,14,3,3,10,8,2,8
47,No,Travel_Rarely,252,Research & Development,16,2,Technical Degree,1,49,2,Male,93,4,5,Healthcare Representative,1,Divorced,4120,19841,8,Y,No,19,3,1,80,0,2,3,3,17,16,8,13
41,No,Travel_Frequently,341,Sales,17,2,Life Sciences,1,50,4,Male,42,3,4,Sales Representative,2,Divorced,2699,17103,3,Y,No,23,3,2,80,1,4,5,4,20,2,13,14
28,No,Travel_Rarely,367,Human Resources,25,1,Life Sciences,1,51,3,Female,57,3,5,Human Resources,3,Married,16749,25745,0,Y,No,22,3,3,80,1,39,1,2,11,17,10,8
52,Yes,Travel_Rarely,1230,Research & Development,20,4,Medical,1,52,4,Male,30,2,1,Laboratory Technician,3,Single,16103,13684,0,Y,No,24,3,1,80,2,35,2,2,38,14,14,16
40,Yes,Travel_Rarely,1014,Human Resources,9,1,Marketing,1,53,4,Male,72,2,3,Manager,2,Single,16884,3150,4,Y,No,19,3,3,80,0,39,5,2,19,0,1,8
34,No,Travel_Frequently,598,Research & Development,27,2,Human Resources,1,54,3,Female,71,2,3,Healthcare Representative,1,Married,10165,2236,6,Y,No,25,4,3,80,1,37,3,2,6,8,2,2
18,No,Travel_Rarely,786,Research & Development,5,3,Life Sciences,1,55,4,Male,79,2,3,Laboratory Technician,3,Married,17673,13601,4,Y,No,24,4,2,80,0,36,1,2,26,5,13,15
32,Yes,Travel_Rarely,259,Human Resources,23,3,Other,1,56,1,Female,89,1,2,Manager,3,Married,5455,23309,2,Y,No,14,3,1,80,0,26,3,1,6,17,0,12
49,No,Non-Travel,273,Sales,1,3,Marketing,1,57,1,Female,30,1,1,Sales Representative,4,Married,11167,26277,6,Y,No,14,4,4,80,2,4,2,3,1,0,6,16
26,No,Travel_Rarely,595,Sales,6,2,Human Resources,1,58,4,Male,80,4,1,Sales Executive,4,Single,3817,12170,0,Y,No,14,3,3,80,0,16,6,1,32,6,1,3
32,No,Travel_Rarely,1071,Sales,24,1,Other,1,59,2,Female,45,3,4,Sales Executive,1,Single,6411,20742,0,Y,No,21,4,3,80,1,37,1,2,20,9,9,8
45,No,Travel_Rarely,1436,Sales,14,4,Technical Degree,1,60,4,Female,68,3,2,Sales Representative,1,Married,2973,20402,1,Y,No,15,3,3,80,2,11,5,4,28,5,7,8
41,No,Travel_Rarely,777,Research & Development,17,2,Marketing,1,61,2,Male,44,4,5,Research Scientist,4,Divorced,18215,14331,0,Y,No,18,3,3,80,1,30,4,4,31,6,8,13
52,No,Travel_Frequently,760,Sales,25,3,Other,1,62,4,Male,62,4,1,Sales Representative,4,Divorced,10638,4575,8,Y,No,12,3,3,80,0,32,6,2,11,5,11,2
39,No,Travel_Rarely,1004,Research & Development,19,1,Marketing,1,63,1,Female,82,4,2,Healthcare Representative,4,Divorced,3070,12176,3,Y,No,21,3,1,80,0,28,2,2,12,7,10,3
44,No,Travel_Rarely,767,Research & Development,1,4,Marketing,1,64,2,Male,46,1,2,Healthcare Representative,2,Divorced,4874,25455,6,Y,Yes,15,3,3,80,3,37,0,4,38,1,13,0
36,No,Travel_Rarely,468,Sales,1,4,Technical Degree,1,65,1,Male,35,4,1,Sales Representative,3,Single,5303,9990,4,Y,No,24,3,3,80,2,2,5,1,39,8,1,3
29,Yes,Travel_Frequently,651,Research & Development,13,2,Technical Degree,1,66,4,Male,60,3,4,Laboratory Technician,1,Single,15180,21603,6,Y,Yes,12,4,3,80,2,37,5,1,2,8,5,9
37,No,Travel_Rarely,744,Sales,14,2,Marketing,1,67,3,Male,98,4,2,Sales Executive,1,Single,13974,9144,6,Y,No,25,3,4,80,3,39,5,2,38,6,10,3
18,No,Travel_Frequently,356,Research & Development,27,4,Other,1,68,2,Male,69,2,3,Laboratory Technician,2,Divorced,13237,8105,0,Y,No,21,3,4,80,1,29,1,1,7,8,14,16
38,Yes,Travel_Frequently,309,Sales,6,4,Medical,1,69,2,Female,59,3,2,Sales Executive,4,Married,16660,17424,0,Y,No,21,3,1,80,1,21,0,4,1,16,0,7
18,Yes,Non-Travel,551,Human Resources,27,3,Life Sciences,1,70,4,Female,98,3,5,Human Resources,3,Divorced,17470,13508,2,Y,No,18,3,3,80,0,37,6,1,5,2,7,8
27,No,Travel_Rarely,196,Research & Development,6,4,Technical Degree,1,71,4,Male,36,3,1,Healthcare Representative,4,Single,3168,6244,9,Y,No,11,3,3,80,2,31,6,2,14,15,4,15
49,No,Travel_Rarely,940,Sales,1,2,Medical,1,72,2,Male,42,1,5,Sales Executive,1,Divorced,13831,17970,1,Y,No,25,3,2,80,0,9,1,4,11,15,8,14
56,No,Travel_Rarely,579,Sales,14,1,Technical Degree,1,73,3,Female,33,1,4,Sales Executive,2,Married,4196,9098,6,Y,No,17,4,4,80,3,31,4,1,31,1,2,15
39,No,Travel_Rarely,784,Research & Development,3,3,Marketing,1,74,4,Male,79,3,3,Manufacturing Director,3,Married,8144,11292,2,Y,No,13,3,2,80,0,3,1,3,5,10,1,11
35,No,Travel_Rarely,863,Research & Development,23,3,Medical,1,75,4,Female,32,2,1,Research Scientist,3,Divorced,14517,3314,6,Y,Yes,14,3,3,80,1,28,5,4,26,15,6,6
49,No,Travel_Frequently,291,Research & Development,10,4,Other,1,76,4,Female,41,3,2,Research Scientist,3,Single,1798,6755,8,Y,Yes,24,3,3,80,1,7,3,4,12,14,10,15
44,No,Travel_Rarely,812,Research & Development,19,1,Other,1,77,3,Female,94,1,3,Healthcare Representative,3,Single,18956,6960,0,Y,No,25,3,2,80,3,19,0,3,22,0,6,5
45,No,Travel_Frequently,857,Sales,19,3,Human Resources,1,78,2,Male,56,2,2,Sales Executive,2,Single,2331,3891,2,Y,No,18,3,1,80,1,6,0,3,9,16,12,5
35,No,Non-Travel,937,Research & Development,19,2,Life Sciences,1,79,1,Male,79,3,4,Laboratory Technician,1,Divorced,14396,8068,5,Y,Yes,13,3,1,80,3,0,6,4,13,2,9,5
56,No,Non-Travel,234,Sales,28,4,Life Sciences,1,80,4,Male,46,1,1,Sales Executive,3,Single,7682,15259,8,Y,Yes,22,3,2,80,2,24,6,3,2,6,14,14
46,No,Travel_Frequently,156,Research & Development,23,2,Technical Degree,1,81,3,Male,61,2,4,Healthcare Representative,3,Divorced,18895,21349,4,Y,Yes,23,3,3,80,3,25,1,2,11,10,4,1
35,No,Travel_Rarely,611,Research & Development,4,4,Life Sciences,1,82,2,Male,80,4,4,Healthcare Representative,1,Single,8125,20095,2,Y,No,23,3,2,80,3,8,3,2,24,17,6,8
25,No,Travel_Rarely,771,Sales,20,3,Human Resources,1,83,2,Female,46,4,4,Sales Representative,4,Married,19052,9099,7,Y,No,17,3,4,80,3,22,3,2,0,13,11,7
48,No,Travel_Rarely,511,Sales,19,4,Other,1,84,3,Female,63,3,4,Sales Executive,3,Married,10516,24549,4,Y,No,22,3,1,80,1,39,1,4,31,15,5,6
51,No,Travel_Rarely,1336,Sales,10,1,Medical,1,85,4,Female,64,4,2,Sales Representative,3,Single,4071,6706,5,Y,Yes,11,3,2,80,2,1,2,3,23,5,8,15
24,Yes,Travel_Rarely,1418,Sales,27,2,Medical,1,86,1,Female,53,1,5,Sales Executive,4,Divorced,19463,22235,1,Y,No,19,3,1,80,0,25,4,3,8,1,11,14
53,No,Travel_Rarely,1088,Research & Development,25,1,Other,1,87,4,Male,83,2,2,Research Scientist,1,Single,11877,20510,3,Y,No,23,3,4,80,2,13,1,1,0,10,2,8
35,No,Travel_Rarely,835,Research & Development,2,2,Marketing,1,88,2,Female,47,3,3,Research Director,1,Divorced,3562,11959,0,Y,Yes,16,3,3,80,1,30,5,1,38,10,3,14
55,No,Travel_Frequently,1240,Research & Development,4,2,Other,1,89,1,Male,79,2,4,Laboratory Technician,3,Married,18437,13985,3,Y,No,13,3,3,80,2,25,3,3,9,9,8,1
26,No,Travel_Rarely,360,Research & Development,24,4,Medical,1,90,4,Male,75,2,3,Healthcare Representative,1,Divorced,10988,12377,0,Y,Yes,17,3,3,80,2,18,4,3,29,3,9,13
26,No,Travel_Frequently,1247,Sales,6,3,Technical Degree,1,91,1,Male,77,2,2,Sales Representative,4,Single,6966,7047,3,Y,Yes,25,3,1,80,3,37,1,3,4,16,13,10
25,No,Travel_Rarely,400,Research & Development,7,3,Human Resources,1,92,3,Female,62,1,4,Research Scientist,2,Married,12736,22792,1,Y,Yes,23,3,4,80,3,4,4,4,3,9,12,2
52,No,Travel_Rarely,662,Research & Development,16,1,Other,1,93,4,Female,56,3,2,Laboratory Technician,4,Divorced,5587,23141,5,Y,Yes,15,4,2,80,1,5,2,3,7,8,14,1
35,No,Non-Travel,398,Research & Development,29,4,Marketing,1,94,2,Male,30,4,4,Research Director,4,Divorced,6630,9145,5,Y,Yes,18,3,3,80,3,34,3,1,15,12,7,13
22,Yes,Travel_Rarely,463,Research & Development,7,3,Technical Degree,1,95,2,Male,88,2,2,Research Director,2,Married,2975,14639,7,Y,No,18,3,1,80,1,15,2,4,0,10,9,4
31,No,Travel_Frequently,690,Research & Development,18,2,Other,1,96,1,Male,39,2,1,Healthcare Representative,4,Single,11557,24110,8,Y,No,22,3,3,80,0,30,6,3,14,9,5,11
45,No,Travel_Rarely,228,Research & Development,20,2,Technical Degree,1,97,3,Male,54,2,5,Research Director,3,Married,14873,15342,7,Y,No,19,3,4,80,2,17,2,1,23,4,11,13
47,No,Travel_Rarely,298,Research & Development,26,4,Other,1,98,4,Male,86,1,5,Research Director,3,Single,19643,23974,0,Y,No,16,3,2,80,0,13,3,4,14,2,2,5
21,No,Travel_Rarely,322,Sales,26,1,Technical Degree,1,99,3,Female,95,4,4,Sales Executive,1,Single,12688,19370,2,Y,No,14,3,3,80,0,24,6,3,5,3,11,7
56,No,Travel_Rarely,1096,Sales,22,4,Life Sciences,1,100,3,Female,44,2,1,Sales Representative,1,Divorced,15984,19449,5,Y,No,23,3,4,80,2,14,5,3,1,2,8,6
37,No,Travel_Frequently,192,Sales,19,1,Technical Degree,1,101,1,Male,57,1,3,Sales Representative,4,Single,15176,18580,0,Y,No,12,3,1,80,3,25,2,3,4,9,8,6
42,No,Travel_Frequently,512,Research & Development,9,4,Life Sciences,1,102,1,Female,42,1,1,Laboratory Technician,3,Single,3023,17233,7,Y,Yes,13,3,4,80,0,35,1,4,38,12,10,11
45,No,Travel_Rarely,109,Sales,29,2,Medical,1,103,4,Male,43,2,4,Sales Executive,3,Married,5633,17602,5,Y,No,15,3,1,80,2,10,1,1,33,4,5,6
29,Yes,Non-Travel,645,Research & Development,20,4,Life Sciences,1,104,2,Female,95,2,1,Healthcare Representative,2,Married,6877,24529,0,Y,Yes,18,4,3,80,0,36,4,1,38,12,1,11
19,No,Travel_Rarely,569,Human Resources,10,3,Technical Degree,1,105,4,Male,63,1,3,Human Resources,1,Single,15635,23623,9,Y,No,22,3,3,80,0,36,1,2,31,0,6,15
31,No,Travel_Rarely,421,Sales,13,3,Human Resources,1,106,3,Female,54,1,4,Sales Executive,3,Divorced,1813,5340,1,Y,No,20,3,4,80,2,6,1,3,28,10,14,6
39,No,Travel_Frequently,370,Research & Development,18,4,Human Resources,1,107,1,Female,83,2,5,Healthcare Representative,4,Married,18727,24332,5,Y,No,12,3,1,80,3,17,6,2,28,2,8,7
48,Yes,Travel_Rarely,1316,Research & Development,16,1,Medical,1,108,3,Female,41,1,1,Manufacturing Director,3,Divorced,1676,22190,9,Y,No,15,3,4,80,1,19,6,2,23,16,8,0
40,No,Travel_Rarely,162,Sales,22,1,Technical Degree,1,109,1,Male,38,1,5,Sales Executive,1,Married,1393,16059,7,Y,No,24,3,4,80,2,1,4,1,30,12,2,12
37,No,Travel_Rarely,1389,Sales,17,2,Life Sciences,1,110,2,Female,60,2,5,Sales Executive,4,Married,12325,5511,4,Y,No,19,3,3,80,1,25,0,4,23,15,1,0
55,Yes,Travel_Frequently,898,Sales,22,2,Human Resources,1,111,3,Male,82,2,2,Sales Executive,1,Single,4449,8539,0,Y,Yes,12,3,3,80,2,22,3,4,14,17,11,6
21,Yes,Travel_Rarely,1220,Sales,13,1,Other,1,112,1,Male,72,3,3,Sales Representative,3,Married,17405,7511,9,Y,Yes,25,4,3,80,2,31,1,1,11,5,4,16
32,No,Travel_Rarely,654,Human Resources,12,4,Marketing,1,113,4,Male,67,4,1,Human Resources,3,Married,8735,17588,1,Y,No,18,3,4,80,1,12,4,4,19,6,10,14
41,Yes,Travel_Rarely,1027,Research & Development,10,2,Technical Degree,1,114,4,Female,71,2,5,Laboratory Technician,3,Divorced,12208,15460,3,Y,No,13,3,4,80,1,12,2,2,3,14,9,3
42,No,Travel_Rarely,762,Research & Development,1,1,Other,1,115,4,Female,77,2,5,Manufacturing Director,1,Married,6412,22629,3,Y,No,18,3,2,80,3,16,2,3,12,4,12,16
18,No,Travel_Rarely,817,Research & Development,8,1,Other,1,116,3,Male,96,2,3,Manufacturing Director,4,Married,7160,15396,6,Y,No,14,3,2,80,2,24,6,1,9,15,6,6
24,Yes,Travel_Rarely,880,Research & Development,21,4,Technical Degree,1,117,1,Male,95,4,5,Research Director,3,Divorced,13368,24995,1,Y,No,14,3,4,80,2,21,5,3,22,5,2,15
48,No,Travel_Rarely,295,Sales,22,3,Marketing,1,118,1,Female,45,3,5,Sales Representative,3,Single,16236,5753,6,Y,No,22,3,2,80,2,26,1,4,6,2,11,16
29,No,Travel_Rarely,583,Research & Development,18,1,Human Resources,1,119,1,Male,45,1,5,Research Scientist,3,Single,11066,9600,6,Y,No,17,3,4,80,3,16,3,3,11,11,3,14
59,Yes,Travel_Rarely,1461,Research & Development,2,2,Marketing,1,120,3,Male,60,4,5,Laboratory Technician,2,Married,1109,23030,6,Y,No,15,3,3,80,1,25,4,4,14,3,9,8
22,No,Non-Travel,1321,Research & Development,16,4,Medical,1,121,1,Male,87,2,2,Research Director,2,Married,5987,7767,2,Y,No,14,3,1,80,2,37,6,4,6,2,1,12
59,No,Travel_Rarely,956,Research & Development,12,4,Life Sciences,1,122,2,Female,57,2,2,Manufacturing Director,4,Divorced,10513,4251,5,Y,No,17,4,3,80,1,13,5,2,7,15,11,6
55,Yes,Travel_Rarely,1374,Sales,9,4,Life Sciences,1,123,3,Male,33,3,4,Sales Executive,1,Single,11997,19059,5,Y,Yes,22,3,4,80,3,13,5,4,6,15,11,10
29,No,Non-Travel,599,Sales,3,3,Other,1,124,2,Female,39,3,1,Sales Executive,3,Single,15540,2889,3,Y,No,13,3,3,80,0,11,4,2,3,14,10,7
56,No,Travel_Rarely,313,Sales,22,3,Human Resources,1,125,2,Male,80,3,3,Sales Representative,3,Single,7543,13483,0,Y,Yes,25,3,4,80,1,4,6,2,6,8,13,16
35,No,Travel_Frequently,766,Research & Development,26,2,Marketing,1,126,4,Male,47,1,4,Healthcare Representative,1,Divorced,17842,20361,8,Y,Yes,19,3,4,80,3,36,6,2,29,1,14,3
19,Yes,Travel_Rarely,771,Research & Development,21,2,Other,1,127,3,Male,76,4,2,Manufacturing Director,1,Divorced,12640,13653,1,Y,Yes,24,3,2,80,0,3,4,1,17,5,13,3
27,No,Travel_Rarely,322,Research & Development,28,4,Technical Degree,1,128,1,Male,61,4,2,Research Director,4,Divorced,12702,15584,8,Y,No,23,3,4,80,2,28,4,1,29,13,9,16
32,No,Travel_Rarely,374,Sales,4,2,Other,1,129,2,Male,59,3,2,Sales Executive,1,Married,4176,8138,7,Y,No,15,3,1,80,2,24,4,4,6,8,12,2
47,No,Travel_Rarely,1279,Research & Development,26,1,Technical Degree,1,130,3,Male,65,1,4,Research Scientist,3,Single,6389,11095,0,Y,Yes,22,3,2,80,1,3,3,2,22,9,11,8
34,No,Travel_Rarely,1374,Research & Development,2,3,Technical Degree,1,131,1,Female,38,4,2,Research Scientist,4,Married,14832,23698,6,Y,No,13,3,1,80,0,15,4,1,36,17,12,5
21,No,Travel_Frequently,380,Sales,8,4,Medical,1,132,4,Male,65,2,4,Sales Representative,2,Married,12638,2666,9,Y,No,12,3,4,80,3,1,6,2,6,14,1,1
24,No,Travel_Rarely,917,Sales,10,4,Medical,1,133,3,Female,58,2,2,Sales Representative,4,Divorced,4865,3300,2,Y,No,17,4,3,80,2,22,3,3,37,3,6,11
58,Yes,Travel_Rarely,377,Sales,16,1,Technical Degree,1,134,3,Female,45,2,5,Sales Representative,4,Single,2084,18377,9,Y,Yes,22,4,4,80,2,3,3,3,28,4,1,14
48,Yes,Travel_Rarely,1106,Human Resources,23,1,Human Resources,1,135,3,Female,50,4,5,Manager,4,Married,16764,15190,9,Y,No,17,3,4,80,0,19,3,3,33,5,0,8
56,No,Travel_Rarely,615,Sales,11,1,Medical,1,136,1,Female,93,3,1,Sales Representative,1,Single,11923,21558,8,Y,No,22,3,3,80,3,16,2,4,38,14,3,1
51,Yes,Travel_Rarely,1213,Research & Development,18,1,Medical,1,137,2,Male,95,2,2,Healthcare Representative,3,Married,1710,4554,4,Y,Yes,23,3,3,80,2,5,0,2,17,1,14,11
23,No,Travel_Rarely,1024,Research & Development,22,4,Life Sciences,1,138,2,Male,88,3,1,Research Scientist,1,Divorced,4357,22483,2,Y,Yes,15,3,1,80,2,17,5,3,24,15,13,15
55,No,Travel_Rarely,743,Research & Development,14,3,Other,1,139,3,Female,57,1,4,Healthcare Representative,3,Married,9194,7019,7,Y,No,14,3,2,80,1,19,1,1,26,4,5,6
51,No,Travel_Rarely,606,Human Resources,8,3,Life Sciences,1,140,3,Female,84,2,1,Human Resources,1,Divorced,7845,21091,2,Y,No,23,4,2,80,3,38,2,3,26,3,9,0
